x,y,z,yaw,pitch,robot_x,robot_y,robot_z
0.0,0.0,0,0.0,0,0.0,0.0,0.0
0.0,0.0,0,0.01256,0,0.0,0.0,0.0
0.0,0.0,0,0.01256,0,0.0,0.0,0.0
0.0,0.0,0,0.02512,0,0.0,0.0,0.0
0.0,0.0,0,0.02512,0,0.0,0.0,0.0
0.0,0.0,0,0.037680000000000005,0,0.0,0.0,0.0
0.0,0.0,0,0.037680000000000005,0,0.0,0.0,0.0
0.0,0.0,0,0.05024,0,0.0,0.0,0.0
0.0,0.0,0,0.05024,0,0.0,0.0,0.0
0.0,0.0,0,0.0628,0,0.0,0.0,0.0
0.0,0.0,0,0.0628,0,0.0,0.0,0.0
0.0,0.0,0,0.07536000000000001,0,0.0,0.0,0.0
0.0,0.0,0,0.07536000000000001,0,0.0,0.0,0.0
0.0,0.0,0,0.08792000000000001,0,0.0,0.0,0.0
0.0,0.0,0,0.08792000000000001,0,0.0,0.0,0.0
0.0,0.0,0,0.10048,0,0.0,0.0,0.0
261.6734623518496,26.38179487440424,0,0.10048,0,0.0,0.0,0.0
261.3214760262205,29.666246265367953,0,0.11304,0,0.0,0.0,0.0
263.3087115853553,29.8918450962833,0,0.11304,0,0.0,0.0,0.0
262.912511206526,33.19655781972463,0,0.1256,0,0.0,0.0,0.0
267.8731246255171,33.8229079672666,0,0.1256,0,0.0,0.0,0.0
267.42719137361485,37.184638145610506,0,0.13816,0,0.0,0.0,0.0
271.389075690261,37.735521673693626,0,0.13816,0,0.0,0.0,0.0
270.8937239789384,41.14110242595256,0,0.15072000000000002,0,0.0,0.0,0.0
270.8937239789384,41.14110242595256,0,0.15072000000000002,0,0.0,0.0,0.0
270.35563836923075,44.54019310651585,0,0.16328,0,0.0,0.0,0.0
274.30243600965747,45.19041490369126,0,0.16328,0,0.0,0.0,0.0
273.71322350766434,48.63199848909569,0,0.17584000000000002,0,0.0,0.0,0.0
273.71322350766434,48.63199848909569,0,0.17584000000000002,0,0.0,0.0,0.0
273.08083232693235,52.065910302518205,0,0.18840000000000004,0,0.0,0.0,0.0
274.0631374791875,52.253197749649566,0,0.18840000000000004,0,0.0,0.0,0.0
273.3852376318338,55.691218742147974,0,0.20096,0,0.0,0.0,0.0
273.3852376318338,55.691218742147974,0,0.20096,0,0.0,0.0,0.0
272.66421084601376,59.12045435989606,0,0.21352000000000004,0,0.0,0.0,0.0
272.66421084601376,59.12045435989606,0,0.21352000000000004,0,0.0,0.0,0.0
271.9001708648033,62.540363635741514,0,0.22608,0,0.0,0.0,0.0
272.87472344854814,62.76452264518862,0,0.22608,0,0.0,0.0,0.0
272.06489856870655,66.18678846113798,0,0.23864,0,0.0,0.0,0.0
272.06489856870655,66.18678846113798,0,0.23864,0,0.0,0.0,0.0
271.2121550359009,69.59861321019591,0,0.2512,0,0.0,0.0,0.0
279.9296885906263,71.8357114919522,0,0.2512,0,0.0,0.0,0.0
279.0053761086732,75.34586984339484,0,0.26376,0,0.0,0.0,0.0
300.2445396878802,81.08154159617922,0,0.26376,0,0.0,0.0,0.0
299.2025002836703,84.84611849696056,0,0.27632,0,0.0,0.0,0.0
328.06447780299544,93.03063153525258,0,0.27632,0,0.0,0.0,0.0
326.8701674562303,97.14367517824279,0,0.28887999999999997,0,0.0,0.0,0.0
351.7928195203417,104.55052431206775,0,0.28887999999999997,0,0.0,0.0,0.0
350.45195153343445,108.96067945092541,0,0.30144000000000004,0,0.0,0.0,0.0
367.64033062771733,114.30479996895444,0,0.30144000000000004,0,0.0,0.0,0.0
366.17570217516555,118.91322523808887,0,0.314,0,0.0,0.0,0.0
368.07791361503655,119.53095627828674,0,0.314,0,0.0,0.0,0.0
366.54761185037205,124.14446522817276,0,0.32656,0,0.0,0.0,0.0
366.54761185037205,124.14446522817276,0,0.32656,0,0.0,0.0,0.0
364.9594866405275,128.7383901992046,0,0.33912000000000003,0,0.0,0.0,0.0
294.2309039582547,103.78908977300216,0,0.33912000000000003,0,0.0,0.0,0.0
292.9041395777252,107.47634631970176,0,0.35168000000000005,0,0.0,0.0,0.0
292.9041395777252,107.47634631970176,0,0.35168000000000005,0,0.0,0.0,0.0
291.5311691221585,111.14664830874318,0,0.36423999999999995,0,0.0,0.0,0.0
266.3025102558178,101.5281883589481,0,0.36423999999999995,0,0.0,0.0,0.0
265.0063449238002,104.86485183381438,0,0.3768000000000001,0,0.0,0.0,0.0
262.21680445091806,103.76101128819529,0,0.3768000000000001,0,0.0,0.0,0.0
260.89291786341346,107.04618353175516,0,0.38936,0,0.0,0.0,0.0
260.89291786341346,107.04618353175516,0,0.38936,0,0.0,0.0,0.0
