,x,y,z,yaw,pitch,robot_x,robot_y,robot_z
2105,342.64217610740934,113.65447264573028,0,0.32028,0,0.0,0.0,0.0
2107,354.2346429768453,119.9742377140481,0,0.32656,0,0.0,0.0,0.0
2109,361.98028874188697,125.13700716550696,0,0.3328399999999999,0,0.0,0.0,0.0
2111,361.1872955641396,127.40776084314048,0,0.33912,0,0.0,0.0,0.0
2113,360.3800577841703,129.67348977905272,0,0.3454,0,0.0,0.0,0.0
2115,359.55860723804085,131.9341046168134,0,0.35168,0,0.0,0.0,0.0
2117,369.0257249895614,138.04352319442083,0,0.35796,0,0.0,0.0,0.0
2119,362.5451718570432,138.22083187112935,0,0.3642399999999999,0,0.0,0.0,0.0
2121,356.07716658398687,138.3222738300656,0,0.37052,0,0.0,0.0,0.0
2123,343.1134781644992,135.77238711114916,0,0.3768000000000001,0,0.0,0.0,0.0
2125,326.48626471942487,131.57020540212602,0,0.38308,0,0.0,0.0,0.0
2127,325.6535712337643,133.61793121694262,0,0.38936,0,0.0,0.0,0.0
2129,282.3615300214772,117.93204129468138,0,0.39564,0,0.0,0.0,0.0
2131,281.6153537450535,119.70293452981176,0,0.40192,0,0.0,0.0,0.0
2133,280.8580710461643,121.46910688824434,0,0.4082,0,0.0,0.0,0.0
2135,264.5291722468001,116.38435045324076,0,0.41448,0,0.0,0.0,0.0
2137,261.96750948625214,117.22637917111663,0,0.42076,0,0.0,0.0,0.0
2139,261.2261668912835,118.86921271417286,0,0.4270400000000001,0,0.0,0.0,0.0
2141,260.4745219881136,120.50735826107764,0,0.43332,0,0.0,0.0,0.0
2143,259.71260442031723,122.140751206204,0,0.4396,0,0.0,0.0,0.0
2145,258.9404442366054,123.76932713135928,0,0.4458799999999999,0,0.0,0.0,0.0
2147,258.1580718896403,125.39302180832593,0,0.45216,0,0.0,0.0,0.0
2149,257.36551823483404,127.01177120139413,0,0.45844,0,0.0,0.0,0.0
2151,256.562814529132,128.6255114698876,0,0.46472,0,0.0,0.0,0.0
2153,255.74999242978,130.23417897068146,0,0.471,0,0.0,0.0,0.0
2155,254.9270839930756,131.8377102607117,0,0.47728,0,0.0,0.0,0.0
2157,254.0941216731044,133.43604209947785,0,0.48356,0,0.0,0.0,0.0
2159,253.25113832045952,135.0291114515366,0,0.48984,0,0.0,0.0,0.0
2161,252.3981671809463,136.61685548898816,0,0.49612,0,0.0,0.0,0.0
2163,251.5352418942713,138.1992115939538,0,0.5024,0,0.0,0.0,0.0
2165,250.6623964927152,139.77611736104575,0,0.50868,0,0.0,0.0,0.0
2167,249.77966539979096,141.34751059982787,0,0.5149600000000001,0,0.0,0.0,0.0
2169,248.8870834288862,142.91332933726878,0,0.52124,0,0.0,0.0,0.0
2171,247.98468578188988,144.4735118201857,0,0.52752,0,0.0,0.0,0.0
2173,247.0725080478045,146.0279965176801,0,0.5338,0,0.0,0.0,0.0
2175,246.1505862013421,147.5767221235641,0,0.5400800000000001,0,0.0,0.0,0.0
2177,245.2189566015058,149.11962755877852,0,0.5463600000000001,0,0.0,0.0,0.0
2179,244.27765599015564,150.6566519738016,0,0.55264,0,0.0,0.0,0.0
2181,243.32672149055963,152.18773475104894,0,0.55892,0,0.0,0.0,0.0
2183,242.3661906059297,153.71281550726397,0,0.5652,0,0.0,0.0,0.0
2185,241.3961012179425,155.23183409589942,0,0.57148,0,0.0,0.0,0.0
2187,240.4164915852458,156.74473060948952,0,0.5777599999999999,0,0.0,0.0,0.0
2189,239.427400341949,158.25144538201246,0,0.5840399999999999,0,0.0,0.0,0.0
2191,238.42886649610003,159.75191899124374,0,0.5903200000000001,0,0.0,0.0,0.0
2193,237.42092942814676,161.2460922610994,0,0.5966000000000001,0,0.0,0.0,0.0
2195,236.40362888938367,162.73390626396994,0,0.6028800000000001,0,0.0,0.0,0.0
2197,235.3770050003846,164.21530232304457,0,0.60916,0,0.0,0.0,0.0
2199,234.34109824942,165.69022201462482,0,0.61544,0,0.0,0.0,0.0
2201,233.2959494908605,167.15860717042926,0,0.62172,0,0.0,0.0,0.0
2203,232.2415999435653,168.62039987988695,0,0.628,0,0.0,0.0,0.0
2205,231.17809118925692,170.07554249242187,0,0.63428,0,0.0,0.0,0.0
2207,230.1054651708813,171.52397761972617,0,0.64056,0,0.0,0.0,0.0
2209,229.02376419095333,172.96564813802365,0,0.64684,0,0.0,0.0,0.0
2211,227.93303090988863,174.40049719032262,0,0.65312,0,0.0,0.0,0.0
2213,226.8333083443214,175.82846818865823,0,0.6594,0,0.0,0.0,0.0
2215,225.72463986540748,177.24950481632408,0,0.6656799999999999,0,0.0,0.0,0.0
2217,224.60706919711404,178.6635510300935,0,0.6719600000000001,0,0.0,0.0,0.0
2219,223.48064041449533,180.0705510624295,0,0.6782400000000001,0,0.0,0.0,0.0
2221,222.34539794195425,181.47044942368444,0,0.6845200000000001,0,0.0,0.0,0.0
2223,221.2013865514904,182.86319090428813,0,0.6908000000000001,0,0.0,0.0,0.0
2225,232.31617199429644,194.520426253688,0,0.69708,0,0.0,0.0,0.0
2227,231.09001067298576,195.9755264495017,0,0.7033600000000001,0,0.0,0.0,0.0
2229,229.8547355613509,197.42289770951453,0,0.70964,0,0.0,0.0,0.0
2231,228.6103953765059,198.86248295190737,0,0.71592,0,0.0,0.0,0.0
2233,227.35703919307525,200.29422540192823,0,0.7222000000000001,0,0.0,0.0,0.0
2235,226.09471644125915,201.7180685941312,0,0.7284799999999999,0,0.0,0.0,0.0
2237,224.82347690488345,203.1339563746036,0,0.73476,0,0.0,0.0,0.0
2239,223.54337071943675,204.5418329031801,0,0.74104,0,0.0,0.0,0.0
2241,222.254448370093,205.9416426556457,0,0.7473200000000001,0,0.0,0.0,0.0
2243,220.9567606897202,207.3333304259248,0,0.7536000000000002,0,0.0,0.0,0.0
2245,219.65035885687612,208.71684132825877,0,0.75988,0,0.0,0.0,0.0
